,date,open,high,low,close,open_close,open_high,high1,high2,high_high,rally,rally2,base,rbr,onWatch,Symbol,bar1,bar2,bar3,bar4,bar5,bar,basing_percent
14,09:40,67.04,67.23,66.94,67.22,0.0026849642004772166,0.002834128878281589,67.145,67.425,False,True,False,False,True,False,TWTR,1,1,0,0,0,2,35.99731503572847
15,09:45,67.22,67.365,67.09,67.16,-0.0008925914906278232,0.002157096102350432,67.23,67.145,True,False,True,True,True,True,TWTR,0,0,0,0,0,0,0.3324407418427318
16,09:50,67.16,67.525,67.135,67.475,0.004690291840381146,0.005434782608695788,67.365,67.23,True,True,True,False,True,False,TWTR,0,0,0,0,0,0,5.254690291840144
52,12:50,689.095,690.14,688.445,689.92,0.0011972224439299832,0.001516481762311378,690.165,689.305,False,True,False,False,True,False,TSLA,1,1,1,1,0,4,3.3661497163312393
53,12:55,689.92,690.38,688.89,689.915,-7.2472170686390494e-06,0.0006667439703154517,690.14,690.165,True,False,True,True,True,True,TSLA,0,0,0,0,0,0,0.006053358843532411
54,13:00,689.915,692.91,689.635,692.62,0.003920772848829263,0.004341114485117739,690.38,690.14,True,True,True,False,True,False,TSLA,0,0,0,0,0,0,541.003920773349
55,13:05,692.62,692.64,691.395,691.915,-0.001017874158990559,2.8875862666370894e-05,692.91,690.38,False,False,False,True,True,True,TSLA,0,0,0,0,0,0,0.25961059164508715
56,13:10,691.915,693.725,691.91,692.34,0.0006142372979340934,0.002615928257083687,692.64,692.91,True,False,True,False,True,False,TSLA,0,0,0,0,0,0,0.6034511167306199
37,11:35,546.645,547.595,546.23,547.295,0.0011890715180784188,0.0017378737571916792,547.035,547.96,False,True,False,False,True,False,NFLX,0,0,0,0,0,0,inf
38,11:40,547.295,547.62,546.74,547.245,-9.135840817101294e-05,0.0005938296531122073,547.595,547.035,True,False,True,True,True,True,NFLX,0,0,0,0,0,0,0.07683171851483864
39,11:45,547.245,547.82,546.93,546.975,-0.000493380478579031,0.001050717685862905,547.62,547.595,True,False,True,False,True,False,NFLX,0,0,0,0,0,0,5.400493380483127
53,12:55,545.135,545.705,545.04,545.545,0.0007521072761792366,0.00104561255468838,545.57,545.92,False,True,False,False,True,False,NFLX,0,0,0,0,0,0,1.3905826157508403
54,13:00,545.545,545.705,544.87,545.24,-0.0005590739535692747,0.0002932846969545718,545.705,545.57,False,False,False,True,True,True,NFLX,0,0,0,0,0,0,0.7433433650707567
55,13:05,545.24,546.02,545.075,545.92,0.001247157215171209,0.0014305626879905595,545.705,545.705,True,True,True,False,True,False,NFLX,0,0,0,0,0,0,2.2307553539366847
57,13:15,547.265,547.865,546.855,547.84,0.0010506792869999827,0.0010963609951303716,547.51,546.02,True,True,True,False,True,False,NFLX,1,1,0,0,0,2,0.4264586143933226
58,13:20,547.84,548.13,547.6,547.735,-0.00019166179906545376,0.0005293516355139523,547.865,547.51,True,False,True,True,True,True,NFLX,0,0,0,0,0,0,0.18241703385312563
59,13:25,547.735,548.365,547.39,547.55,-0.00033775457109744516,0.001150191242115248,548.13,547.865,True,False,True,False,True,False,NFLX,0,0,0,0,0,0,1.7622425164761173
